Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration,Commissions
2439485820,MGCM6,04/13/2026 06:30:20 +01:00,04/13/2026 07:50:18 +01:00,4743.100000000,4744.400000000,1.24000,13.000000000,1,Long,04/13/2026 00:00:00 -05:00,01:19:57.7943110,0.2500
2439485821,MGCM6,04/13/2026 06:31:47 +01:00,04/13/2026 07:50:18 +01:00,4741.400000000,4744.400000000,1.24000,30.000000000,1,Long,04/13/2026 00:00:00 -05:00,01:18:30.8528000,0.2500
2439485822,MGCM6,04/13/2026 06:33:17 +01:00,04/13/2026 07:50:18 +01:00,4741.200000000,4744.400000000,1.24000,32.000000000,1,Long,04/13/2026 00:00:00 -05:00,01:17:00.8427290,0.2500
2439422074,MBTJ6,04/13/2026 06:49:47 +01:00,04/13/2026 07:19:12 +01:00,70970.000000000,71200.000000000,2.34000,-23.000000000,1,Short,04/13/2026 00:00:00 -05:00,00:29:25.2046230,0.2500
2439422078,MBTJ6,04/13/2026 06:51:17 +01:00,04/13/2026 07:19:12 +01:00,70995.000000000,71200.000000000,2.34000,-20.500000000,1,Short,04/13/2026 00:00:00 -05:00,00:27:55.1682630,0.2500
2439422081,MBTJ6,04/13/2026 06:52:47 +01:00,04/13/2026 07:19:13 +01:00,70980.000000000,71200.000000000,2.34000,-22.000000000,1,Short,04/13/2026 00:00:00 -05:00,00:26:25.0336190,0.2500
2439527146,MCLK6,04/13/2026 07:10:17 +01:00,04/13/2026 08:09:16 +01:00,104.140000000,103.510000000,1.04000,63.000000000,1,Short,04/13/2026 00:00:00 -05:00,00:58:58.4598430,0.2500
2439527147,MCLK6,04/13/2026 07:11:48 +01:00,04/13/2026 08:09:16 +01:00,104.130000000,103.510000000,1.04000,62.000000000,1,Short,04/13/2026 00:00:00 -05:00,00:57:28.3317220,0.2500
2439527163,MCLK6,04/13/2026 07:13:18 +01:00,04/13/2026 08:09:16 +01:00,104.260000000,103.510000000,1.04000,75.000000000,1,Short,04/13/2026 00:00:00 -05:00,00:55:57.6725570,0.2500
2439518502,M6EM6,04/13/2026 07:20:18 +01:00,04/13/2026 08:05:19 +01:00,1.172200000,1.172200000,0.52000,0.000000000,1,Short,04/13/2026 00:00:00 -05:00,00:45:00.9882670,0.2500
2439518503,M6EM6,04/13/2026 07:21:48 +01:00,04/13/2026 08:05:19 +01:00,1.172200000,1.172200000,0.52000,0.000000000,1,Short,04/13/2026 00:00:00 -05:00,00:43:30.8476940,0.2500
2439518504,M6EM6,04/13/2026 07:23:18 +01:00,04/13/2026 08:05:19 +01:00,1.172300000,1.172200000,0.52000,1.250000000,1,Short,04/13/2026 00:00:00 -05:00,00:42:00.8042220,0.2500
2439506399,MGCM6,04/13/2026 08:00:17 +01:00,04/13/2026 08:01:19 +01:00,4748.100000000,4753.300000000,1.24000,52.000000000,1,Long,04/13/2026 00:00:00 -05:00,00:01:01.5098510,0.2500
2439508589,MGCM6,04/13/2026 08:01:47 +01:00,04/13/2026 08:01:56 +01:00,4754.900000000,4755.600000000,1.24000,7.000000000,1,Long,04/13/2026 00:00:00 -05:00,00:00:08.2493330,0.2500
2439534855,MGCM6,04/13/2026 08:03:18 +01:00,04/13/2026 08:12:17 +01:00,4760.500000000,4748.300000000,1.24000,-122.000000000,1,Long,04/13/2026 00:00:00 -05:00,00:08:58.9514570,0.2500
2439643872,MCLK6,04/13/2026 08:11:48 +01:00,04/13/2026 09:00:00 +01:00,103.480000000,103.720000000,1.04000,-24.000000000,1,Short,04/13/2026 00:00:00 -05:00,00:48:11.8806370,0.2500
2439643968,MCLK6,04/13/2026 08:13:18 +01:00,04/13/2026 09:00:00 +01:00,103.420000000,103.720000000,1.04000,-30.000000000,1,Short,04/13/2026 00:00:00 -05:00,00:46:41.8374480,0.2500
2439559895,MGCM6,04/13/2026 08:14:47 +01:00,04/13/2026 08:23:58 +01:00,4750.000000000,4752.600000000,1.24000,26.000000000,1,Long,04/13/2026 00:00:00 -05:00,00:09:10.6952530,0.2500
2439643969,MCLK6,04/13/2026 08:14:48 +01:00,04/13/2026 09:00:00 +01:00,103.540000000,103.720000000,1.04000,-18.000000000,1,Short,04/13/2026 00:00:00 -05:00,00:45:11.6059670,0.2500
2439559900,MGCM6,04/13/2026 08:16:17 +01:00,04/13/2026 08:23:58 +01:00,4752.500000000,4752.600000000,1.24000,1.000000000,1,Long,04/13/2026 00:00:00 -05:00,00:07:40.7617400,0.2500
2439559905,MGCM6,04/13/2026 08:17:48 +01:00,04/13/2026 08:23:58 +01:00,4751.000000000,4752.600000000,1.24000,16.000000000,1,Long,04/13/2026 00:00:00 -05:00,00:06:10.4443950,0.2500
2439559906,MGCM6,04/13/2026 08:20:28 +01:00,04/13/2026 08:23:58 +01:00,4754.200000000,4752.600000000,1.24000,-16.000000000,1,Long,04/13/2026 00:00:00 -05:00,00:03:30.3793380,0.2500
2439643992,MCLK6,04/13/2026 08:20:29 +01:00,04/13/2026 09:00:00 +01:00,103.610000000,103.720000000,1.04000,-11.000000000,1,Short,04/13/2026 00:00:00 -05:00,00:39:30.8987050,0.2500
2439581464,MGCM6,04/13/2026 08:26:58 +01:00,04/13/2026 08:29:01 +01:00,4750.000000000,4752.000000000,1.24000,20.000000000,1,Long,04/13/2026 00:00:00 -05:00,00:02:03.2242950,0.2500
