Id,AccountName,ContractName,Status,Type,Size,Side,CreatedAt,TradeDay,FilledAt,CancelledAt,StopPrice,LimitPrice,ExecutePrice,PositionDisposition,CreationDisposition,RejectionReason,ExchangeOrderId,PlatformOrderId
2805836619,PRAC-V2-315185-26809886,M6EM6,Filled,Market,1,Ask,04/13/2026 00:21:47 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:21:47 +01:00,,,,1.169900000,Opening,Trader,,,
2805836578,PRAC-V2-315185-26809886,MGCM6,Cancelled,Limit,1,Bid,04/13/2026 00:21:47 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 01:00:18 +01:00,,4662.400000000,,Undetermined,Trader,Cancelled by trader,,
2805836583,PRAC-V2-315185-26809886,MBTJ6,Filled,Market,1,Ask,04/13/2026 00:21:47 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:21:47 +01:00,,,,70705.000000000,Opening,Trader,,,
2805836585,PRAC-V2-315185-26809886,MBTJ6,Cancelled,Stop,1,Bid,04/13/2026 00:21:47 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 01:25:17 +01:00,71250.000000000,,,Undetermined,Trader,Cancelled by trader,,
2805836622,PRAC-V2-315185-26809886,M6EM6,Cancelled,Limit,1,Bid,04/13/2026 00:21:47 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 01:10:17 +01:00,,1.164900000,,Undetermined,Trader,Cancelled by trader,,
2805836621,PRAC-V2-315185-26809886,M6EM6,Cancelled,Stop,1,Bid,04/13/2026 00:21:47 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 01:10:17 +01:00,1.172400000,,,Undetermined,Trader,Cancelled by trader,,
2805843452,PRAC-V2-315185-26809886,M6EM6,Filled,Market,1,Ask,04/13/2026 00:23:17 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:23:17 +01:00,,,,1.170000000,Opening,Trader,,,
2805836586,PRAC-V2-315185-26809886,MBTJ6,Cancelled,Limit,1,Bid,04/13/2026 00:21:47 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 01:25:17 +01:00,,70410.000000000,,Undetermined,Trader,Cancelled by trader,,
2805836577,PRAC-V2-315185-26809886,MGCM6,Cancelled,Stop,1,Bid,04/13/2026 00:21:47 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 01:00:18 +01:00,4696.300000000,,,Undetermined,Trader,Cancelled by trader,,
2805841424,PRAC-V2-315185-26809886,MCLK6,Filled,Stop,1,Ask,04/13/2026 00:22:47 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 01:54:30 +01:00,,104.120000000,,104.140000000,Closing,Trader,,,
